mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
proactive,15,2,5,750,250,1,6,2,200,2,3,15,512,5,1,4849,4828,4803,4803,99.0514,99.4822,99.5669,6.21608,21,200,2811,0,0,0,3011,2184,2619,0,0,750
proactive,15,2,5,750,250,1,6,2,200,2,3,15,512,5,2,4847,4828,4504,4504,92.9235,93.2891,99.608,6.55706,19,200,2645,0,0,0,2845,1312,3192,0,0,750
proactive,15,2,5,750,250,1,6,2,200,2,3,15,512,5,3,4846,4688,4221,4221,87.1028,90.0384,96.7396,7.51311,158,200,2360,0,0,0,2560,1453,2768,0,0,750
proactive,15,2,5,750,250,1,6,2,200,2,3,15,512,5,4,4844,4843,4694,4694,96.9034,96.9234,99.9794,6.64341,1,200,2676,0,0,0,2876,1737,2957,0,0,750
proactive,15,2,5,750,250,1,6,2,200,2,3,15,512,5,5,4846,4846,4596,4596,94.8411,94.8411,100,48.8806,0,200,2765,0,0,0,2965,3610,986,0,0,750
proactive,15,2,5,750,250,1,6,2,200,5,3,15,512,5,1,4849,4822,4734,4734,97.6284,98.175,99.4432,7.1463,27,80,1121,0,0,0,1201,2207,2527,0,0,750
proactive,15,2,5,750,250,1,6,2,200,5,3,15,512,5,2,4847,4823,4696,4696,96.8847,97.3668,99.5048,7.62192,24,80,1069,0,0,0,1149,1304,3392,0,0,750
proactive,15,2,5,750,250,1,6,2,200,5,3,15,512,5,3,4846,4693,4282,4282,88.3615,91.2423,96.8428,8.39954,153,80,939,0,0,0,1019,1292,2990,0,0,750
proactive,15,2,5,750,250,1,6,2,200,5,3,15,512,5,4,4844,4843,4595,4595,94.8596,94.8792,99.9794,6.84133,1,80,1081,0,0,0,1161,1809,2786,0,0,750
proactive,15,2,5,750,250,1,6,2,200,5,3,15,512,5,5,4846,4846,4398,4398,90.7553,90.7553,100,11.3892,0,80,1128,0,0,0,1208,3257,1141,0,0,750
proactive,15,2,5,750,250,1,6,2,200,10,3,15,512,5,1,4849,4797,4765,4765,98.2677,99.3329,98.9276,6.18348,52,40,573,0,0,0,613,2185,2580,0,0,750
proactive,15,2,5,750,250,1,6,2,200,10,3,15,512,5,2,4847,4798,4511,4511,93.0679,94.0183,98.9891,6.70493,49,40,531,0,0,0,571,1252,3259,0,0,750
proactive,15,2,5,750,250,1,6,2,200,10,3,15,512,5,3,4846,4643,4355,4355,89.8679,93.7971,95.811,7.09692,203,40,476,0,0,0,516,1153,3202,0,0,750
proactive,15,2,5,750,250,1,6,2,200,10,3,15,512,5,4,4844,4843,4711,4711,97.2543,97.2744,99.9794,6.43946,1,40,530,0,0,0,570,1671,3040,0,0,750
proactive,15,2,5,750,250,1,6,2,200,10,3,15,512,5,5,4846,4846,4554,4554,93.9744,93.9744,100,5.82242,0,40,577,0,0,0,617,3598,956,0,0,750
proactive,15,2,5,750,250,1,6,2,200,20,3,15,512,5,1,4849,3658,3649,3649,75.2526,99.754,75.4382,15.3719,1191,20,286,0,0,0,306,1712,1937,0,0,750
proactive,15,2,5,750,250,1,6,2,200,20,3,15,512,5,2,4847,3655,3642,3642,75.1393,99.6443,75.4075,6.01848,1192,20,266,0,0,0,286,969,2673,0,0,750
proactive,15,2,5,750,250,1,6,2,200,20,3,15,512,5,3,4846,3498,3425,3425,70.6768,97.9131,72.1832,8.76669,1348,20,226,0,0,0,246,721,2704,0,0,750
proactive,15,2,5,750,250,1,6,2,200,20,3,15,512,5,4,4844,3718,3611,3611,74.5458,97.1221,76.7547,6.41013,1126,20,276,0,0,0,296,1313,2298,0,0,750
proactive,15,2,5,750,250,1,6,2,200,20,3,15,512,5,5,4846,3725,3320,3320,68.5101,89.1275,76.8675,53.0018,1121,20,296,0,0,0,316,2574,746,0,0,750
proactive,15,2,5,750,250,1,6,2,200,40,3,15,512,5,1,4849,1805,1640,1640,33.8214,90.8587,37.2242,9.27799,3044,10,138,0,0,0,148,821,819,0,0,750
proactive,15,2,5,750,250,1,6,2,200,40,3,15,512,5,2,4847,1804,1788,1788,36.8888,99.1131,37.2189,9.46384,3043,10,147,0,0,0,157,528,1260,0,0,750
proactive,15,2,5,750,250,1,6,2,200,40,3,15,512,5,3,4846,1725,1677,1677,34.6059,97.2174,35.5964,12.1877,3121,10,110,0,0,0,120,282,1395,0,0,750
proactive,15,2,5,750,250,1,6,2,200,40,3,15,512,5,4,4844,1871,1856,1856,38.3154,99.1983,38.6251,9.17272,2973,10,126,0,0,0,136,663,1193,0,0,750
proactive,15,2,5,750,250,1,6,2,200,40,3,15,512,5,5,4846,1872,1786,1786,36.8551,95.406,38.6298,7.07849,2974,10,146,0,0,0,156,1420,366,0,0,750
proactive,15,2,5,750,250,1,6,2,200,60,3,15,512,5,1,4849,1400,1395,1395,28.7688,99.6429,28.8719,9.0455,3449,8,118,0,0,0,126,656,739,0,0,750
proactive,15,2,5,750,250,1,6,2,200,60,3,15,512,5,2,4847,1399,1390,1390,28.6775,99.3567,28.8632,7.36664,3448,8,101,0,0,0,109,366,1024,0,0,750
proactive,15,2,5,750,250,1,6,2,200,60,3,15,512,5,3,4846,1394,1382,1382,28.5184,99.1392,28.766,13.1709,3452,8,84,0,0,0,92,282,1100,0,0,750
proactive,15,2,5,750,250,1,6,2,200,60,3,15,512,5,4,4844,1468,1450,1450,29.9339,98.7738,30.3055,11.765,3376,8,114,0,0,0,122,580,870,0,0,750
proactive,15,2,5,750,250,1,6,2,200,60,3,15,512,5,5,4846,1473,1183,1183,24.4119,80.3123,30.3962,141.108,3373,8,103,0,0,0,111,1107,76,0,0,750
hybrid,15,2,5,750,250,1,6,2,200,2,3,15,512,5,1,4849,4833,4447,4447,91.7096,92.0132,99.67,19.2863,16,200,1289,16,73,10,1588,2039,2408,0,0,750
hybrid,15,2,5,750,250,1,6,2,200,2,3,15,512,5,2,4847,4827,4706,4706,97.091,97.4933,99.5874,8.58628,20,200,1434,20,41,6,1701,1293,3413,0,0,750
hybrid,15,2,5,750,250,1,6,2,200,2,3,15,512,5,3,4846,4683,4188,4188,86.4218,89.4299,96.6364,5.91025,163,200,1028,163,165,15,1571,1427,2761,0,0,750
