Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std,LBR_mean,LBR_std,PST_mean,PST_std
25,RD,98.423562,3.086423,0.001979,0.002050,0.320724,0.010057,0.003070,0.001249,0.002600,0.004271,81.346040,99.631108
25,GM,89.805525,8.691459,0.001358,0.001664,0.292641,0.028322,0.039250,0.068327,0.109800,0.194231,133.745180,137.036403
25,RWP,98.009273,1.426630,0.001748,0.000600,0.319374,0.004649,0.023872,0.007699,0.073000,0.029120,156.463174,99.432598
50,RD,92.453732,10.921650,0.002722,0.002294,0.301271,0.035589,0.328132,0.567136,0.465400,0.808575,152.616644,125.697993
50,GM,97.428329,2.368943,0.001828,0.002239,0.317480,0.007719,0.132541,0.236161,0.239400,0.434562,102.320077,98.672207
50,RWP,96.701626,1.537453,0.001718,0.000766,0.315113,0.005010,0.078424,0.042771,0.107400,0.072461,199.081962,127.444041
75,RD,98.742245,0.922134,0.001985,0.002280,0.321762,0.003005,0.081098,0.100910,0.083400,0.132089,139.222767,138.128661
75,GM,95.958989,2.955362,0.000846,0.001691,0.312692,0.009630,0.028513,0.012735,0.010600,0.008686,202.605983,133.345309
75,RWP,94.524652,3.430660,0.000943,0.000448,0.308018,0.011179,0.155524,0.059056,0.102600,0.038877,232.075679,31.672766
100,RD,90.158950,10.033235,0.000904,0.001808,0.293792,0.032694,0.059088,0.040299,0.025000,0.026818,216.531825,199.069804
100,GM,95.942533,4.490436,0.002405,0.001971,0.312639,0.014633,0.059607,0.053151,0.028000,0.031209,202.770354,143.741862
100,RWP,91.751584,2.962786,0.001571,0.000859,0.298982,0.009655,0.282569,0.086474,0.123800,0.060496,248.706457,43.707186
125,RD,92.633971,11.385120,0.000113,0.000225,0.301858,0.037100,0.040389,0.015877,0.001800,0.002227,284.858241,337.610219
125,GM,97.451577,1.583267,0.002234,0.001825,0.317556,0.005159,0.052104,0.022139,0.002200,0.002315,117.974464,155.836057
125,RWP,89.619539,3.940121,0.002280,0.000586,0.292035,0.012840,0.348134,0.122872,0.101400,0.076961,326.912939,92.213108
