Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
25,RD,97.052178,4.886743,0.001727,0.002138,0.316255,0.015924,0.003148,0.001028
25,GM,88.918958,10.916782,0.000542,0.000667,0.289752,0.035574,0.106648,0.131051
25,RWP,98.509241,1.785386,0.001386,0.000922,0.321003,0.005818,0.025161,0.015770
50,RD,98.628094,2.027020,0.001202,0.001826,0.321390,0.006605,0.011048,0.005992
50,GM,86.509763,17.168156,0.002446,0.003104,0.281901,0.055944,0.899354,1.770251
50,RWP,95.702475,2.034309,0.002303,0.000837,0.311857,0.006629,0.109172,0.072206
75,RD,93.769477,8.753853,0.001732,0.002161,0.305558,0.028525,0.015277,0.009831
75,GM,96.492653,5.676969,0.003192,0.002804,0.314431,0.018499,0.026812,0.009871
75,RWP,94.048978,2.470238,0.002151,0.000761,0.306469,0.008050,0.157297,0.047711
100,RD,96.752302,2.077006,0.001629,0.002040,0.315278,0.006768,0.050009,0.049578
100,GM,92.491347,5.394414,0.000000,0.000000,0.301393,0.017578,0.038177,0.025910
100,RWP,90.998759,2.913630,0.002134,0.000528,0.296529,0.009494,0.226809,0.056271
125,RD,93.619800,5.069875,0.002479,0.002029,0.305070,0.016521,0.084135,0.062315
125,GM,78.528151,16.969605,0.002340,0.001911,0.383445,0.059910,0.050103,0.018064
125,RWP,64.247249,4.628364,0.001415,0.000427,0.418699,0.030163,0.273888,0.057239
