Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
25,RD,98.614511,1.956714,0.001448,0.001761,0.321346,0.006376,0.032607,0.001916
25,GM,98.236792,1.378641,0.001730,0.001889,0.320115,0.004493,0.034228,0.003683
25,RWP,93.492588,1.744310,0.002403,0.000593,0.304656,0.005684,0.036347,0.001719
50,RD,99.900216,0.123173,0.002717,0.002253,0.325536,0.000401,0.092159,0.017377
50,GM,96.245020,1.837809,0.002469,0.001621,0.313625,0.005989,0.125598,0.036726
50,RWP,93.354405,2.252405,0.002353,0.000604,0.304205,0.007340,0.109630,0.018488
75,RD,85.634167,11.743823,0.001786,0.002160,0.279048,0.038269,0.564679,0.303730
75,GM,86.258996,9.489176,0.002349,0.001827,0.281084,0.030922,0.593829,0.192014
75,RWP,90.092601,3.808884,0.002988,0.000961,0.293576,0.012412,0.372543,0.136232
100,RD,50.226344,7.285888,0.002683,0.002201,0.163668,0.023742,1.872702,0.413685
100,GM,46.906028,9.427270,0.000783,0.001552,0.152848,0.030720,2.093264,0.561431
100,RWP,51.677398,3.767652,0.003134,0.001182,0.168396,0.012277,1.636941,0.166640
125,RD,32.811076,8.294052,0.002331,0.001906,0.106918,0.027027,3.923708,1.107478
125,GM,26.712467,3.729856,0.001156,0.001764,0.087046,0.012154,4.722063,0.741473
125,RWP,35.490629,1.585138,0.002120,0.001387,0.115650,0.005165,3.147249,0.191550
