Speed,Nodes,Mobility,PDR_mean,PDR_std,Delay_mean,Delay_std,Throughput_mean,Throughput_std,NRL_mean,NRL_std
3,25,RWP,67.679608,6.121198,0.001459,0.000441,0.441068,0.039892,0.037769,0.025013
3,25,RD,62.210090,13.801812,0.001848,0.000963,0.405423,0.089947,0.011401,0.009386
3,25,GM,63.347330,13.272539,0.000346,0.000693,0.412835,0.086497,0.227195,0.339747
3,50,RWP,67.824849,3.090343,0.001180,0.000497,0.442014,0.020140,0.080470,0.023049
3,50,RD,71.274449,14.355144,0.001296,0.001302,0.464496,0.093553,0.017452,0.023841
3,50,GM,58.919053,10.178983,0.001349,0.001193,0.383975,0.066337,0.035876,0.015469
3,75,RWP,61.794743,2.450190,0.000753,0.000274,0.402716,0.015968,0.160483,0.046243
3,75,RD,69.239118,6.721148,0.000878,0.001167,0.451231,0.043802,0.042083,0.053300
3,75,GM,49.916082,11.323696,0.000000,0.000000,0.325303,0.073797,0.811233,0.774681
3,100,RWP,67.178318,2.806723,0.001116,0.000516,0.437801,0.018292,0.190749,0.025822
3,100,RD,58.732278,11.048448,0.001316,0.001216,0.382758,0.072003,0.260287,0.391598
3,100,GM,55.495053,15.723470,0.001182,0.001104,0.361661,0.102470,0.713984,0.912394
3,125,RWP,61.814727,5.432971,0.000859,0.000404,0.402847,0.035407,0.292453,0.060528
3,125,RD,65.497600,13.103183,0.000356,0.000437,0.426848,0.085394,0.174631,0.229211
3,125,GM,58.299168,13.805033,0.001057,0.000545,0.379936,0.089968,1.375729,1.709752
6,25,RWP,62.279706,7.019346,0.001302,0.000463,0.405877,0.045745,0.049578,0.021449
6,25,RD,63.928425,22.634051,0.001925,0.001614,0.416622,0.147506,0.040821,0.067684
6,25,GM,62.482939,6.923561,0.001160,0.001303,0.407201,0.045121,0.047214,0.080269
6,50,RWP,64.124604,5.727969,0.001292,0.000356,0.417900,0.037329,0.167553,0.068902
6,50,RD,64.422792,8.127896,0.000375,0.000750,0.419844,0.052970,0.020527,0.015090
6,50,GM,66.593437,14.470608,0.001471,0.000929,0.433990,0.094305,0.173904,0.305044
6,75,RWP,59.961992,2.282885,0.001094,0.000327,0.390772,0.014878,0.265268,0.110712
6,75,RD,48.448914,4.931077,0.000291,0.000582,0.315742,0.032136,0.131897,0.190031
6,75,GM,61.404212,9.121320,0.001535,0.001301,0.400171,0.059444,0.269727,0.462308
6,100,RWP,63.545469,3.385133,0.001050,0.000547,0.414126,0.022061,0.269072,0.052063
6,100,RD,64.777012,14.259003,0.000782,0.001052,0.422152,0.092926,0.055951,0.045153
6,100,GM,57.110465,7.716617,0.000501,0.001001,0.372189,0.050289,0.134704,0.080543
6,125,RWP,63.620571,4.925546,0.001142,0.000319,0.414615,0.032100,0.336002,0.089780
6,125,RD,56.261486,14.469876,0.000436,0.000872,0.366656,0.094300,2.076740,4.000379
6,125,GM,62.422465,7.830126,0.000879,0.001078,0.406807,0.051029,0.090563,0.058310
10,25,RWP,61.781159,2.963746,0.001511,0.000506,0.402628,0.019315,0.043865,0.016649
10,25,RD,54.090710,12.141015,0.001199,0.001518,0.352509,0.079123,0.034673,0.045549
10,25,GM,61.996669,12.391634,0.001619,0.001285,0.404032,0.080756,0.081531,0.074243
10,50,RWP,59.431053,2.170181,0.001210,0.000404,0.387312,0.014143,0.170925,0.035529
10,50,RD,68.973453,12.351761,0.000009,0.000018,0.449500,0.080496,0.066433,0.094329
10,50,GM,51.905437,11.014661,0.000433,0.000515,0.338268,0.071783,0.064199,0.042745
10,75,RWP,61.402515,5.464406,0.001126,0.000490,0.400160,0.035612,0.234212,0.117285
10,75,RD,60.180114,18.623887,0.000604,0.001087,0.392194,0.121372,0.288202,0.518787
10,75,GM,66.623739,15.623688,0.001146,0.000975,0.434187,0.101819,0.134027,0.149208
10,100,RWP,61.041241,5.285547,0.000838,0.000650,0.397806,0.034446,0.248551,0.070043
10,100,RD,62.706547,10.654809,0.000356,0.000712,0.408659,0.069437,0.058106,0.045916
10,100,GM,61.422237,8.027186,0.000105,0.000206,0.400289,0.052313,0.160932,0.130608
10,125,RWP,58.313535,6.853165,0.001122,0.000348,0.380029,0.044662,0.514886,0.204943
10,125,RD,60.990302,21.187450,0.001800,0.001166,0.397474,0.138079,0.067713,0.059247
10,125,GM,68.741355,22.765604,0.002269,0.001228,0.447987,0.148363,0.167246,0.120879
