time,event,model,nodes,seed
20.000000000,RREQ,RWP,50,1
20.000000000,RREQ,RWP,50,1
20.000000000,RREQ,RWP,50,1
20.000000000,RREQ,RWP,50,1
20.000000000,RREQ,RWP,50,1
20.001416335,RREQ,RWP,50,1
20.001929960,RREQ,RWP,50,1
20.002126539,RREQ,RWP,50,1
20.002147171,RREP,RWP,50,1
20.002255308,RREQ,RWP,50,1
20.002423037,RREQ,RWP,50,1
20.002629806,RREQ,RWP,50,1
20.002731193,RREQ,RWP,50,1
20.002736590,RREQ,RWP,50,1
20.003065573,RREP,RWP,50,1
20.003160349,RREQ,RWP,50,1
20.003267472,RREQ,RWP,50,1
20.003334280,RREQ,RWP,50,1
20.003378369,RREQ,RWP,50,1
20.003401011,RREQ,RWP,50,1
20.003566753,RREQ,RWP,50,1
20.003569518,RREQ,RWP,50,1
20.003947544,RREQ,RWP,50,1
20.004009650,RREQ,RWP,50,1
20.004020614,RREQ,RWP,50,1
20.004057629,RREQ,RWP,50,1
20.004079081,RREQ,RWP,50,1
20.004117760,RREQ,RWP,50,1
20.004351980,RREQ,RWP,50,1
20.004476044,RREQ,RWP,50,1
20.004565882,RREQ,RWP,50,1
20.004717296,RREQ,RWP,50,1
20.004765622,RREQ,RWP,50,1
20.004942713,RREP,RWP,50,1
20.005075499,RREQ,RWP,50,1
20.005102552,RREQ,RWP,50,1
20.005225070,RREQ,RWP,50,1
20.005420671,RREQ,RWP,50,1
20.005503953,RREQ,RWP,50,1
20.005649842,RREQ,RWP,50,1
20.005861028,RREP,RWP,50,1
20.005861033,RREP,RWP,50,1
20.006134650,RREQ,RWP,50,1
20.006175131,RREQ,RWP,50,1
20.006189028,RREQ,RWP,50,1
20.006404325,RREQ,RWP,50,1
20.006626542,RREQ,RWP,50,1
20.006779242,RREP,RWP,50,1
20.006779246,RREP,RWP,50,1
20.007018660,RREQ,RWP,50,1
20.007074011,RREQ,RWP,50,1
20.007174341,RREQ,RWP,50,1
20.007241478,RREQ,RWP,50,1
20.007277673,RREQ,RWP,50,1
20.007376926,RREQ,RWP,50,1
20.007389081,RREQ,RWP,50,1
20.007424177,RREQ,RWP,50,1
20.007595583,RREQ,RWP,50,1
20.007676583,RREQ,RWP,50,1
20.007695839,RREQ,RWP,50,1
20.007762294,RREQ,RWP,50,1
20.007911782,RREQ,RWP,50,1
20.007982629,RREQ,RWP,50,1
20.008097535,RREQ,RWP,50,1
20.008254914,RREQ,RWP,50,1
20.008364283,RREQ,RWP,50,1
20.008394423,RREQ,RWP,50,1
20.008546139,RREQ,RWP,50,1
20.008611143,RREQ,RWP,50,1
20.008650045,RREQ,RWP,50,1
20.008833579,RREQ,RWP,50,1
20.008927049,RREQ,RWP,50,1
20.009058870,RREQ,RWP,50,1
20.009134095,RREQ,RWP,50,1
20.009134555,RREQ,RWP,50,1
20.009152939,RREQ,RWP,50,1
20.009314988,RREQ,RWP,50,1
20.009341746,RREQ,RWP,50,1
20.009351559,RREQ,RWP,50,1
20.009386994,RREQ,RWP,50,1
20.009455071,RREQ,RWP,50,1
20.009499866,RREQ,RWP,50,1
20.009585776,RREQ,RWP,50,1
20.009609403,RREQ,RWP,50,1
20.009698861,RREP,RWP,50,1
20.009701242,RREQ,RWP,50,1
20.009997404,RREQ,RWP,50,1
20.010149886,RREQ,RWP,50,1
20.010346244,RREQ,RWP,50,1
20.010416372,RREQ,RWP,50,1
20.010424342,RREQ,RWP,50,1
20.010903720,RREQ,RWP,50,1
20.010913925,RREQ,RWP,50,1
20.011021529,RREQ,RWP,50,1
20.011060606,RREQ,RWP,50,1
20.011086065,RREQ,RWP,50,1
20.011209590,RREQ,RWP,50,1
20.011221785,RREQ,RWP,50,1
20.011609753,RREQ,RWP,50,1
20.011716487,RREQ,RWP,50,1
20.011757831,RREQ,RWP,50,1
20.011812294,RREQ,RWP,50,1
20.012082625,RREQ,RWP,50,1
20.012094147,RREQ,RWP,50,1
20.012327541,RREQ,RWP,50,1
20.012564328,RREQ,RWP,50,1
20.012824153,RREQ,RWP,50,1
20.012836755,RREQ,RWP,50,1
20.012838623,RREQ,RWP,50,1
20.013143433,RREQ,RWP,50,1
20.013937057,RREQ,RWP,50,1
20.014320262,RREQ,RWP,50,1
20.014403643,RREQ,RWP,50,1
20.014494146,RREQ,RWP,50,1
20.014587070,RREQ,RWP,50,1
20.014878827,RREQ,RWP,50,1
20.015492739,RREQ,RWP,50,1
20.016452809,RREQ,RWP,50,1
20.016679255,RREQ,RWP,50,1
20.016734686,RREQ,RWP,50,1
20.016996668,RREQ,RWP,50,1
20.017195937,RREQ,RWP,50,1
20.018508467,RREQ,RWP,50,1
20.019416720,RREQ,RWP,50,1
20.028148186,RREQ,RWP,50,1
20.031148321,RREQ,RWP,50,1
20.032883623,RREQ,RWP,50,1
20.032943052,RREQ,RWP,50,1
20.033190507,RREQ,RWP,50,1
20.033389006,RREQ,RWP,50,1
20.034139472,RREQ,RWP,50,1
20.034332225,RREQ,RWP,50,1
20.035599188,RREQ,RWP,50,1
20.035889379,RREQ,RWP,50,1
20.036142153,RREQ,RWP,50,1
20.036387843,RREQ,RWP,50,1
20.036573992,RREQ,RWP,50,1
20.036587937,RREQ,RWP,50,1
20.036748325,RREQ,RWP,50,1
20.037282674,RREQ,RWP,50,1
20.037999389,RREQ,RWP,50,1
20.039151669,RREQ,RWP,50,1
20.039260089,RREQ,RWP,50,1
20.039310374,RREQ,RWP,50,1
20.042318176,RREQ,RWP,50,1
20.045534126,RREQ,RWP,50,1
20.046989637,RREQ,RWP,50,1
20.047298422,RREQ,RWP,50,1
20.047511962,RREQ,RWP,50,1
20.049155044,RREQ,RWP,50,1
20.049305515,RREQ,RWP,50,1
20.051567659,RREQ,RWP,50,1
20.052389669,RREQ,RWP,50,1
20.052547165,RREQ,RWP,50,1
20.052740559,RREQ,RWP,50,1
20.054662928,RREQ,RWP,50,1
20.056142567,RREQ,RWP,50,1
20.057259919,RREQ,RWP,50,1
20.061809510,RREQ,RWP,50,1
20.062029729,RREQ,RWP,50,1
20.062496405,RREQ,RWP,50,1
20.063986160,RREQ,RWP,50,1
20.064329614,RREQ,RWP,50,1
20.064554404,RREQ,RWP,50,1
20.065764117,RREQ,RWP,50,1
20.065780479,RREQ,RWP,50,1
20.066159332,RREQ,RWP,50,1
20.066207558,RREQ,RWP,50,1
20.066609472,RREQ,RWP,50,1
20.066885456,RREQ,RWP,50,1
20.067126152,RREQ,RWP,50,1
20.067270957,RREQ,RWP,50,1
20.067767902,RREQ,RWP,50,1
20.067966588,RREQ,RWP,50,1
20.068080880,RREQ,RWP,50,1
20.068280579,RREQ,RWP,50,1
20.068588851,RREQ,RWP,50,1
20.069209719,RREQ,RWP,50,1
