mode,advInterval,seed,sent,relayed,received,pdr,delay_ms,noGateway,control,gw0,gw1
proactive,2,1,4828,4803,4803,99.4822,6.2161,21,3011,2184,2619
proactive,2,2,4828,4504,4504,93.2891,6.5571,19,2845,1312,3192
proactive,2,3,4688,4221,4221,90.0384,7.5131,158,2560,1453,2768
proactive,5,1,4822,4734,4734,98.175,7.1463,27,1201,2207,2527
proactive,5,2,4823,4696,4696,97.3668,7.6219,24,1149,1304,3392
proactive,5,3,4693,4282,4282,91.2423,8.3995,153,1019,1292,2990
proactive,10,1,4797,4765,4765,99.3329,6.1835,52,613,2185,2580
proactive,10,2,4798,4511,4511,94.0183,6.7049,49,571,1252,3259
proactive,10,3,4643,4355,4355,93.7971,7.0969,203,516,1153,3202
proactive,20,1,3658,3649,3649,99.754,15.3719,1191,306,1712,1937
proactive,20,2,3655,3642,3642,99.6443,6.0185,1192,286,969,2673
proactive,20,3,3498,3425,3425,97.9131,8.7667,1348,246,721,2704
proactive,40,1,1805,1640,1640,90.8587,9.2780,3044,148,821,819
proactive,40,2,1804,1788,1788,99.1131,9.4638,3043,157,528,1260
proactive,40,3,1725,1677,1677,97.2174,12.1877,3121,120,282,1395
proactive,60,1,1400,1395,1395,99.6429,9.0455,3449,126,656,739
proactive,60,2,1399,1390,1390,99.3567,7.3666,3448,109,366,1024
proactive,60,3,1394,1382,1382,99.1392,13.1709,3452,92,282,1100
reactive,2,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,2,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,2,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
reactive,5,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,5,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,5,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
reactive,10,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,10,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,10,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
reactive,20,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,20,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,20,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
reactive,40,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,40,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,40,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
reactive,60,1,4763,4376,4376,91.8749,15.1900,86,1329,1873,2503
reactive,60,2,4762,4593,4593,96.4511,5.3433,85,1162,1392,3201
reactive,60,3,4571,3981,3981,87.0925,5.7292,275,1722,1305,2676
hybrid,2,1,4833,4447,4447,92.0132,19.2863,16,1588,2039,2408
hybrid,2,2,4827,4706,4706,97.4933,8.5863,20,1701,1293,3413
hybrid,2,3,4683,4188,4188,89.4299,5.9102,163,1571,1427,2761
hybrid,5,1,4833,4643,4643,96.0687,6.9875,16,682,2113,2530
hybrid,5,2,4827,4698,4698,97.3275,6.0340,20,722,1282,3416
hybrid,5,3,4688,4282,4282,91.3396,6.4989,158,837,1270,3012
hybrid,10,1,4810,4427,4427,92.0374,5.5512,39,812,1882,2545
hybrid,10,2,4827,4737,4737,98.1355,6.1161,20,400,1280,3457
hybrid,10,3,4656,4390,4390,94.2869,5.6910,190,736,1219,3171
hybrid,20,1,4782,4184,4184,87.4948,9.6055,67,1157,1831,2353
hybrid,20,2,4772,4273,4273,89.5432,4.9970,75,1178,965,3308
hybrid,20,3,4579,4022,4022,87.8358,6.5782,267,1957,946,3076
hybrid,40,1,4766,4598,4598,96.475,9.0422,83,1337,2228,2370
hybrid,40,2,4770,4437,4437,93.0189,6.4493,77,1153,1370,3067
hybrid,40,3,4639,4346,4346,93.684,7.1449,207,1274,1337,3009
hybrid,60,1,4774,4711,4711,98.6804,10.4742,75,1143,2108,2603
hybrid,60,2,4775,4668,4668,97.7592,5.2812,72,1054,1475,3193
hybrid,60,3,4614,4360,4360,94.495,7.0198,232,1274,982,3378
