mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
proactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,1,22349,22347,22328,22328,99.906,99.915,99.9911,4.37278,2,360,4928,0,0,0,5288,9866,12462,0,0,500
proactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,2,22347,22347,22168,22168,99.199,99.199,100,4.68559,0,360,5228,0,0,0,5588,10691,11477,0,0,500
proactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,3,22346,22344,22317,22317,99.8702,99.8792,99.991,4.64903,2,360,4860,0,0,0,5220,11160,11157,0,0,500
proactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,4,22344,22343,21724,21724,97.2252,97.2296,99.9955,4.78265,1,360,4523,0,0,0,4883,8525,13199,0,0,500
proactive,15,2,5,800,250,1,1,60,900,5,3,15,512,5,5,22346,22346,22302,22302,99.8031,99.8031,100,4.94216,0,360,5306,0,0,0,5666,15861,6441,0,0,500
proactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,1,22349,22048,21549,21549,96.4204,97.7368,98.6532,4.62508,301,360,4510,0,0,0,4870,8608,12941,0,0,500
proactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,2,22347,22322,21859,21859,97.8163,97.9258,99.8881,8.11732,25,360,4903,0,0,0,5263,10967,10892,0,0,500
proactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,3,22346,22344,22150,22150,99.1229,99.1318,99.991,4.71871,2,360,5058,0,0,0,5418,9599,12551,0,0,500
proactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,4,22344,22343,22125,22125,99.0199,99.0243,99.9955,5.10699,1,360,4586,0,0,0,4946,7427,14698,0,0,500
proactive,15,2,5,800,250,2,2,60,900,5,3,15,512,5,5,22346,22346,22268,22268,99.6509,99.6509,100,4.95982,0,360,5208,0,0,0,5568,10383,11885,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22347,21446,21446,95.9596,95.9681,99.9911,4.71613,2,360,4907,0,0,0,5267,10100,11346,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22347,21889,21889,97.9505,97.9505,100,4.79638,0,360,5150,0,0,0,5510,11680,10209,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22344,22055,22055,98.6978,98.7066,99.991,6.21012,2,360,4921,0,0,0,5281,10008,12047,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,20125,20125,90.0689,90.073,99.9955,5.43826,1,360,4706,0,0,0,5066,8756,11369,0,0,500
