mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight,numMaliciousGw,dropFraction,trustAware,trustThreshold,dataViaMalicious,acksSent,acksDelivered
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22346,9980,9980,44.6552,44.6612,99.9866,4.69211,3,360,2516,3,38,4,2921,9980,0,1,11830,500,1,1,0,0.5,12098,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22344,11692,11692,52.3202,52.3272,99.9866,4.58109,3,360,2539,3,44,5,2951,11692,0,1,10018,500,1,1,0,0.5,10247,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22337,9914,9914,44.3659,44.3838,99.9597,4.69058,9,360,2514,5,54,6,2939,9914,0,1,11908,500,1,1,0,0.5,12272,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,8895,8895,39.8093,39.8111,99.9955,5.04617,1,360,2597,1,9,1,2968,8895,0,1,13322,500,1,1,0,0.5,13350,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22340,13725,13725,61.4204,61.4369,99.9731,4.79582,6,360,2570,2,20,2,2954,13725,0,1,8126,500,1,1,0,0.5,8229,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,20170,19078,19078,85.364,94.586,90.2501,6.01867,2179,360,2473,496,5874,665,9868,19078,0,1,461,500,1,1,1,0.5,496,19078,18908
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,19037,18224,18224,81.5501,95.7294,85.1882,55.5819,3310,360,2483,690,10060,1294,14887,18224,0,1,327,500,1,1,1,0.5,350,18224,18076
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,18267,17239,17239,77.1458,94.3724,81.7462,6.43469,4079,360,2479,859,11073,1373,16144,17239,0,1,370,500,1,1,1,0.5,387,17239,17008
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,14761,13517,13517,60.495,91.5724,66.0625,6.56089,7583,360,2468,1556,21151,2556,28091,13517,0,1,330,500,1,1,1,0.5,367,13517,13379
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,19446,18487,18487,82.7307,95.0684,87.0223,5.75499,2900,360,2591,605,8193,961,12710,18487,0,1,385,500,1,1,1,0.5,394,18487,18434
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22346,20582,20582,92.0936,92.106,99.9866,4.6537,3,360,2516,3,38,4,2921,9980,10602,1,1228,500,1,0.1,0,0.5,12098,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22344,20704,20704,92.6478,92.6602,99.9866,4.78844,3,360,2539,3,44,5,2951,11692,9012,1,1006,500,1,0.1,0,0.5,10247,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22337,20587,20587,92.1283,92.1655,99.9597,6.16174,9,360,2514,5,54,6,2939,9914,10673,1,1235,500,1,0.1,0,0.5,12272,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,20899,20899,93.5329,93.5371,99.9955,4.5914,1,360,2597,1,9,1,2968,8895,12004,1,1318,500,1,0.1,0,0.5,13350,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22340,21055,21055,94.2227,94.248,99.9731,4.82748,6,360,2570,2,20,2,2954,13725,7330,1,796,500,1,0.1,0,0.5,8229,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,21451,19935,19935,89.1986,92.9327,95.9819,4.72362,898,360,2508,190,2087,293,5438,11237,8698,1,1027,500,1,0.1,1,0.5,9905,19935,19781
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22074,20605,20605,92.2048,93.3451,98.7784,7.35423,273,360,2548,61,898,105,3972,11042,9563,1,1057,500,1,0.1,1,0.5,10782,20605,20407
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22180,20738,20738,92.8041,93.4986,99.2571,5.24409,166,360,2518,38,564,42,3522,10485,10253,1,1191,500,1,0.1,1,0.5,11616,20738,20564
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22015,20504,20504,91.7651,93.1365,98.5276,5.36132,329,360,2594,68,696,70,3788,8673,11831,1,1297,500,1,0.1,1,0.5,13209,20504,20377
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,21848,20456,20456,91.5421,93.6287,97.7714,5.07614,498,360,2585,104,1460,102,4611,12015,8441,1,931,500,1,0.1,1,0.5,9625,20456,20299
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22346,18778,18778,84.0217,84.0329,99.9866,4.62011,3,360,2516,3,38,4,2921,9980,8798,1,3032,500,1,0.25,0,0.5,12098,0,0
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22344,19203,19203,85.931,85.9425,99.9866,4.77596,3,360,2539,3,44,5,2951,11692,7511,1,2507,500,1,0.25,0,0.5,10247,0,0
