mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
hybrid,15,2,5,800,250,3,3,60,900,5,1,15,512,5,1,22349,22166,21398,21398,95.7448,96.5352,99.1812,4.59302,183,360,0,183,2688,346,3577,9007,12391,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,1,15,512,5,2,22347,22162,21214,21214,94.93,95.7224,99.1721,14.9833,185,360,0,185,2734,352,3631,11769,9445,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,1,15,512,5,3,22346,22136,21182,21182,94.791,95.6903,99.0602,4.70563,210,360,0,210,2992,367,3929,11145,10037,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,1,15,512,5,4,22344,22164,21237,21237,95.0456,95.8175,99.1944,4.69459,180,360,0,180,2537,333,3410,7538,13699,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,1,15,512,5,5,22346,22123,21317,21317,95.3951,96.3567,99.0021,5.08065,223,360,0,223,3260,409,4252,13184,8133,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,2,15,512,5,1,22349,22321,21662,21662,96.926,97.0476,99.8747,4.81604,28,360,1208,28,406,44,2046,9704,11958,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,2,15,512,5,2,22347,22315,21579,21579,96.5633,96.7018,99.8568,5.05262,32,360,1144,32,473,57,2066,11935,9644,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,2,15,512,5,3,22346,22262,21956,21956,98.2547,98.6255,99.6241,5.99952,84,360,1118,84,1215,115,2892,10485,11471,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,2,15,512,5,4,22344,22313,21845,21845,97.7667,97.9026,99.8613,4.41631,31,360,1150,31,450,52,2043,8667,13178,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,2,15,512,5,5,22346,22309,21928,21928,98.1294,98.2922,99.8344,4.66317,37,360,1172,37,275,25,1869,13589,8339,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22346,22041,22041,98.6219,98.6351,99.9866,4.5626,3,360,2515,3,38,4,2920,10008,12033,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22338,21936,21936,98.1608,98.2004,99.9597,20.286,9,360,2559,9,129,12,3069,11672,10264,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22342,22052,22052,98.6843,98.702,99.9821,6.20124,4,360,2521,4,54,6,2945,10079,11973,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,22006,22006,98.4873,98.4917,99.9955,5.90357,1,360,2596,1,9,1,2967,8820,13186,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22345,22134,22134,99.0513,99.0557,99.9955,4.78091,1,360,2575,1,10,1,2947,13827,8307,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,4,15,512,5,1,22349,22347,22032,22032,98.5816,98.5904,99.9911,4.61068,2,360,3728,2,23,3,4116,9881,12151,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,4,15,512,5,2,22347,22347,21754,21754,97.3464,97.3464,100,4.74213,0,360,3874,0,0,0,4234,11755,9999,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,4,15,512,5,3,22346,22344,22061,22061,98.7246,98.7334,99.991,8.8185,2,360,3782,2,30,4,4178,10042,12019,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,4,15,512,5,4,22344,22343,22189,22189,99.3063,99.3107,99.9955,4.83781,1,360,3692,1,9,1,4063,8674,13515,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,4,15,512,5,5,22346,22346,22133,22133,99.0468,99.0468,100,4.8557,0,360,3815,0,0,0,4175,13855,8278,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,5,15,512,5,1,22349,22347,22039,22039,98.6129,98.6217,99.9911,4.7398,2,360,4569,2,23,3,4957,9886,12153,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,5,15,512,5,2,22347,22347,21893,21893,97.9684,97.9684,100,4.76003,0,360,4770,0,0,0,5130,11834,10059,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,5,15,512,5,3,22346,22344,22060,22060,98.7201,98.729,99.991,6.0711,2,360,4537,2,30,4,4933,9837,12223,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,5,15,512,5,4,22344,22343,22211,22211,99.4048,99.4092,99.9955,5.03472,1,360,4559,1,9,1,4930,8922,13289,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,5,15,512,5,5,22346,22346,22120,22120,98.9886,98.9886,100,4.91527,0,360,4705,0,0,0,5065,13918,8202,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22347,21446,21446,95.9596,95.9681,99.9911,4.71613,2,360,4907,0,0,0,5267,10100,11346,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22347,21889,21889,97.9505,97.9505,100,4.79638,0,360,5150,0,0,0,5510,11680,10209,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22344,22055,22055,98.6978,98.7066,99.991,6.21012,2,360,4921,0,0,0,5281,10008,12047,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,20125,20125,90.0689,90.073,99.9955,5.43826,1,360,4706,0,0,0,5066,8756,11369,0,0,500
proactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22346,21937,21937,98.1697,98.1697,100,5.12171,0,360,4999,0,0,0,5359,13663,8274,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22036,21382,21382,95.6732,97.0321,98.5995,4.43824,313,0,0,313,4515,593,5421,9721,11661,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22028,21237,21237,95.0329,96.4091,98.5725,9.09424,319,0,0,319,4626,613,5558,10984,10253,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22024,21457,21457,96.0217,97.4255,98.559,4.8654,322,0,0,322,4478,575,5375,10874,10583,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22035,20278,20278,90.7537,92.0263,98.6171,4.55142,309,0,0,309,4282,549,5140,7830,12448,0,0,500
reactive,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22020,19929,19929,89.1837,90.5041,98.5411,5.01821,326,0,0,326,4488,578,5392,12542,7387,0,0,500
hybrid,25,3,5,1000,250,3,3,60,900,5,1,15,512,5,1,22345,20923,19759,19759,88.4269,94.4367,93.6362,4.91166,1422,540,0,1422,11491,1237,14690,2094,11854,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,1,15,512,5,2,22345,20996,19996,19996,89.4876,95.2372,93.9629,5.16458,1349,540,0,1349,10987,854,13730,3726,12746,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,1,15,512,5,3,22347,20391,18459,18459,82.6017,90.5252,91.2471,5.87112,1956,540,0,1956,9509,638,12643,5476,11367,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,1,15,512,5,4,22346,20958,19573,19573,87.5906,93.3915,93.7886,6.98917,1388,540,0,1388,6597,386,8911,5566,12078,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,1,15,512,5,5,22346,20510,19137,19137,85.6395,93.3057,91.7838,6.40731,1836,540,0,1836,10763,232,13371,4805,13308,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,2,15,512,5,1,22345,21744,21342,21342,95.5113,98.1512,97.3104,4.64254,601,540,2318,601,1509,92,5060,2349,12095,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,2,15,512,5,2,22345,21180,20978,20978,93.8823,99.0463,94.7863,4.6422,1165,540,2435,1165,6391,338,10869,4161,12410,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,2,15,512,5,3,22347,20754,20140,20140,90.124,97.0415,92.8715,11.555,1593,540,2010,1593,3078,137,7358,5377,12688,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,2,15,512,5,4,22346,21084,20496,20496,91.7211,97.2112,94.3525,5.3435,1262,540,2161,1262,4023,127,8113,4932,13579,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,2,15,512,5,5,22346,20634,20203,20203,90.4099,97.9112,92.3387,14.6821,1712,540,2203,1712,9123,94,13672,4901,14418,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,1,22345,21764,21363,21363,95.6053,98.1575,97.3999,6.91139,581,540,5076,581,1081,45,7323,2402,12037,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,2,22345,21306,20958,20958,93.7928,98.3667,95.3502,4.90077,1039,540,5295,1039,3295,22,10191,4319,12325,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,3,22347,20796,20070,20070,89.8107,96.5089,93.0595,11.0662,1551,540,4773,1551,2212,38,9114,5772,12117,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,4,22346,21209,20684,20684,92.5624,97.5246,94.9118,5.44582,1137,540,4619,1137,2937,36,9269,4880,14191,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,3,15,512,5,5,22346,20686,19531,19531,87.4027,94.4165,92.5714,4.77629,1660,540,4423,1660,8406,32,15061,4930,13638,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,4,15,512,5,1,22345,21772,21199,21199,94.8713,97.3682,97.4357,4.53018,573,540,7461,573,922,26,9522,2282,12188,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,4,15,512,5,2,22345,21308,21048,21048,94.1956,98.7798,95.3591,4.73298,1037,540,7271,1037,3245,16,12109,4366,12436,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,4,15,512,5,3,22347,20874,20021,20021,89.5914,95.9136,93.4085,5.51136,1473,540,6894,1473,1988,28,10923,5646,12309,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,4,15,512,5,4,22346,21210,20594,20594,92.1597,97.0957,94.9163,7.61066,1136,540,7092,1136,2889,30,11687,4972,14007,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,4,15,512,5,5,22346,20741,20229,20229,90.5263,97.5315,92.8175,8.47593,1605,540,6137,1605,8009,18,16309,4947,14273,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,5,15,512,5,1,22345,21775,21381,21381,95.6858,98.1906,97.4491,4.68784,570,540,9005,570,852,18,10985,2332,12206,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,5,15,512,5,2,22345,21308,21086,21086,94.3656,98.9581,95.3591,4.71562,1037,540,8733,1037,3245,16,13571,4146,12690,0,0,1000
hybrid,25,3,5,1000,250,3,3,60,900,5,5,15,512,5,3,22347,20878,20098,20098,89.936,96.264,93.4264,10.9332,1469,540,8142,1469,1904,20,12075,5669,12373,0,0,1000
